secteur;professions;professions_detaillees;annee;effectifs
Public;2 - Internes                                    ;2 - Internes              ;2017;31532
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2017;258896
Public;;71 - Autres soignants     ;2017;162265
Public;7 - Autre personnel (soignants et non soignants);;2017;330926
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2018;87911
Public;;71 - Autres soignants     ;2018;157845
Public;6 - Filière administrative                      ;6 - Filière administrative;2018;103580
Public;7 - Autre personnel (soignants et non soignants);;2018;326946
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2019;259297
Public;7 - Autre personnel (soignants et non soignants);;2019;326490
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2020;13120
Public;;72 - Autres non soignants ;2020;172111
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2021;260742
Public;6 - Filière administrative                      ;6 - Filière administrative;2021;108448
Public;7 - Autre personnel (soignants et non soignants);;2021;336043
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2022;258058
Public;;71 - Autres soignants     ;2022;159046
Public;7 - Autre personnel (soignants et non soignants);;2022;333097
Public;2 - Internes                                    ;2 - Internes              ;2003;18183
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2003;9166
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2003;218711
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2003;197212
Public;6 - Filière administrative                      ;6 - Filière administrative;2003;92219
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2004;75419
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2004;9421
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2004;201114
Public;2 - Internes                                    ;2 - Internes              ;2005;19648
Public;7 - Autre personnel (soignants et non soignants);;2005;335802
Public;2 - Internes                                    ;2 - Internes              ;2006;20491
Public;6 - Filière administrative                      ;6 - Filière administrative;2006;97749
Public;7 - Autre personnel (soignants et non soignants);;2006;332518
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2007;236210
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2007;210591
Public;6 - Filière administrative                      ;6 - Filière administrative;2007;99124
Public;7 - Autre personnel (soignants et non soignants);;2007;335252
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2008;10647
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2009;81275
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2009;10915
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2009;209136
Public;7 - Autre personnel (soignants et non soignants);;2009;327970
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2010;213814
Public;;71 - Autres soignants     ;2010;170686
Public;7 - Autre personnel (soignants et non soignants);;2010;334268
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2011;82172
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2011;244983
Public;;72 - Autres non soignants ;2011;164292
Public;7 - Autre personnel (soignants et non soignants);;2011;334738
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2012;12147
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2012;221108
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2013;222226
Public;7 - Autre personnel (soignants et non soignants);;2013;340178
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2014;86311
Public;2 - Internes                                    ;2 - Internes              ;2014;28719
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2014;256362
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2014;223678
Public;7 - Autre personnel (soignants et non soignants);;2014;340820
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2015;257040
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2015;224188
Public;;71 - Autres soignants     ;2015;169809
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2016;86929
Public;2 - Internes                                    ;2 - Internes              ;2016;30769
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2016;12676
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2016;223819
Public;;72 - Autres non soignants ;2017;168661
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2018;223854
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2019;89307
Public;2 - Internes                                    ;2 - Internes              ;2019;33279
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2019;13022
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2019;223862
Public;;71 - Autres soignants     ;2019;157268
Public;6 - Filière administrative                      ;6 - Filière administrative;2019;103502
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2020;91341
Public;2 - Internes                                    ;2 - Internes              ;2020;34900
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2020;262889
Public;;71 - Autres soignants     ;2020;161586
Public;6 - Filière administrative                      ;6 - Filière administrative;2020;105559
Public;7 - Autre personnel (soignants et non soignants);;2020;333697
Public;2 - Internes                                    ;2 - Internes              ;2021;36520
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2021;227661
Public;;71 - Autres soignants     ;2021;161420
Public;;72 - Autres non soignants ;2021;174623
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2022;93198
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2022;13206
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2003;74626
Public;7 - Autre personnel (soignants et non soignants);;2003;327777
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2004;225243
Public;7 - Autre personnel (soignants et non soignants);;2004;333183
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2005;76552
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2006;204733
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2007;79533
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2007;10454
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2008;79801
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2008;236686
Public;6 - Filière administrative                      ;6 - Filière administrative;2008;100415
Public;2 - Internes                                    ;2 - Internes              ;2010;24092
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2010;241132
Public;2 - Internes                                    ;2 - Internes              ;2011;25094
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2011;12005
Public;6 - Filière administrative                      ;6 - Filière administrative;2011;104144
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2012;84393
Public;6 - Filière administrative                      ;6 - Filière administrative;2012;104236
Public;;72 - Autres non soignants ;2012;166007
Public;2 - Internes                                    ;2 - Internes              ;2013;27422
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2013;12421
Public;;71 - Autres soignants     ;2013;171925
Public;6 - Filière administrative                      ;6 - Filière administrative;2013;103971
Public;;72 - Autres non soignants ;2013;168253
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2014;12629
Public;;71 - Autres soignants     ;2014;171989
Public;;72 - Autres non soignants ;2015;168365
Public;;71 - Autres soignants     ;2016;167161
Public;7 - Autre personnel (soignants et non soignants);;2016;335422
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2017;12797
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2017;224376
Public;6 - Filière administrative                      ;6 - Filière administrative;2017;103524
Public;2 - Internes                                    ;2 - Internes              ;2018;32284
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2018;12892
Public;4 - Infirmiers                                  ;4 - Infirmiers            ;2018;259159
Public;;72 - Autres non soignants ;2018;169101
Public;;72 - Autres non soignants ;2019;169222
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2020;227187
Public;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2021;92366
Public;3 - Sages-femmes                                ;3 - Sages-femmes          ;2021;13141
Public;2 - Internes                                    ;2 - Internes              ;2022;38213
Public;5 - Aides-soignants                             ;5 - Aides-soignants       ;2022;224117
Public;6 - Filière administrative                      ;6 - Filière administrative;2022;113328
Public;;72 - Autres non soignants ;2022;174051
