secteur;professions;professions_detaillees;annee;effectifs
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2012;59476
Privé ;;72 - Autres non soignants ;2012;31110
Privé ;2 - Internes                                    ;2 - Internes              ;2013;2206
Privé ;2 - Internes                                    ;2 - Internes              ;2014;2365
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2014;88491
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2014;60620
Privé ;;71 - Autres soignants     ;2014;61387
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2014;41268
Privé ;7 - Autre personnel (soignants et non soignants);;2014;93123
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2015;17469
Privé ;;72 - Autres non soignants ;2015;31979
Privé ;2 - Internes                                    ;2 - Internes              ;2016;2512
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2016;91091
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2016;61260
Privé ;;71 - Autres soignants     ;2017;62649
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2018;18601
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2018;3838
Privé ;;72 - Autres non soignants ;2018;31220
Privé ;7 - Autre personnel (soignants et non soignants);;2018;92157
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2019;59429
Privé ;;72 - Autres non soignants ;2019;31964
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2020;19386
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2020;3603
Privé ;7 - Autre personnel (soignants et non soignants);;2020;92770
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2021;19781
Privé ;;71 - Autres soignants     ;2021;61566
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2003;3331
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2004;13986
Privé ;2 - Internes                                    ;2 - Internes              ;2004;1206
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2004;3390
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2004;35209
Privé ;2 - Internes                                    ;2 - Internes              ;2006;1284
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2006;73545
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2007;75399
Privé ;7 - Autre personnel (soignants et non soignants);;2007;89113
Privé ;2 - Internes                                    ;2 - Internes              ;2008;1379
Privé ;7 - Autre personnel (soignants et non soignants);;2008;89389
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2009;3839
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2009;80615
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2010;15828
Privé ;2 - Internes                                    ;2 - Internes              ;2010;1553
Privé ;;71 - Autres soignants     ;2010;60481
Privé ;7 - Autre personnel (soignants et non soignants);;2010;90818
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2011;16334
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2011;4060
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2011;59707
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2011;39516
Privé ;;72 - Autres non soignants ;2011;30275
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2012;16583
Privé ;;71 - Autres soignants     ;2012;60314
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2013;16726
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2013;3977
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2013;86945
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2013;60268
Privé ;2 - Internes                                    ;2 - Internes              ;2015;2434
Privé ;5 - Aides-soignants                             ;5 - Aides-soignants       ;2015;60648
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2015;41287
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2016;3979
Privé ;;71 - Autres soignants     ;2016;62189
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2016;42100
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2017;18323
Privé ;2 - Internes                                    ;2 - Internes              ;2017;2570
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2017;90866
Privé ;;72 - Autres non soignants ;2017;30966
Privé ;7 - Autre personnel (soignants et non soignants);;2017;93615
Privé ;2 - Internes                                    ;2 - Internes              ;2018;2599
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2018;90750
Privé ;1 - Médecins et assimilés                       ;1 - Médecins et assimilés ;2019;18973
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2019;41789
Privé ;7 - Autre personnel (soignants et non soignants);;2019;92545
Privé ;;71 - Autres soignants     ;2020;60461
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2020;41522
Privé ;3 - Sages-femmes                                ;3 - Sages-femmes          ;2021;3569
Privé ;4 - Infirmiers                                  ;4 - Infirmiers            ;2021;89546
Privé ;6 - Filière administrative                      ;6 - Filière administrative;2021;42815
